prediction_id,generated_at_utc,location,as_of_date,horizon_days,temperature_max,temperature_min,rain_mm,wind_speed_mean,pressure_mean,wind_direction_mean
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,1,71.92988586425781,56.489044189453125,5.202875137329102,7.893291473388672,991.7162475585938,63.84649658203125
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,2,75.5653305053711,58.2709846496582,2.361734390258789,7.3395233154296875,991.7997436523438,149.94784545898438
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,3,75.5279769897461,58.160560607910156,2.310347318649292,7.6902313232421875,990.9959106445312,200.0936737060547
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,4,75.96878814697266,58.97064971923828,0.6906501054763794,7.920684337615967,991.3837890625,197.6748046875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,5,77.40026092529297,59.312992095947266,1.4979304075241089,8.40963077545166,991.1212158203125,200.28201293945312
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,6,76.57701873779297,60.02802658081055,1.7928657531738281,8.986677169799805,991.2064208984375,205.95510864257812
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,7,76.03118896484375,59.45329284667969,1.355635404586792,8.320115089416504,991.8488159179688,185.90646362304688
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,14,71.28868865966797,54.508399963378906,2.965031147003174,8.690105438232422,991.0235595703125,197.14236450195312
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,21,62.8228645324707,49.30027770996094,2.9479498863220215,9.853778839111328,988.6799926757812,231.26661682128906
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Illinois (Champaign Co.),2026-09-21,30,65.05519104003906,46.13490676879883,3.245190143585205,10.068986892700195,989.6507568359375,226.53309631347656
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,1,71.87337493896484,55.36030578613281,7.547396659851074,8.209925651550293,997.4512939453125,72.31655883789062
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,2,75.5088119506836,57.801055908203125,1.5634742975234985,7.286762714385986,996.97216796875,124.0849609375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,3,76.01667022705078,59.20368957519531,2.639599561691284,8.061613082885742,996.5162353515625,185.0095672607422
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,4,75.86442565917969,59.99163818359375,0.9009876251220703,7.712759017944336,997.2692260742188,192.92381286621094
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,5,77.22175598144531,59.340980529785156,0.8518214821815491,8.672221183776855,996.7671508789062,195.84144592285156
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,6,76.1556396484375,59.603816986083984,0.7277432084083557,8.689931869506836,997.1615600585938,212.91851806640625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,7,75.00537109375,58.82103729248047,1.8354281187057495,8.391974449157715,997.7598266601562,182.903076171875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,14,70.51536560058594,53.68294143676758,2.897223711013794,8.04810905456543,996.7554931640625,207.59146118164062
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,21,62.605838775634766,49.865875244140625,2.895721197128296,9.684501647949219,994.3992309570312,213.92645263671875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Indiana (Tippecanoe Co.),2026-09-21,30,63.646446228027344,44.86885452270508,3.7002861499786377,9.873856544494629,995.90087890625,223.7154998779297
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,1,68.11148071289062,55.07835388183594,10.895437240600586,9.530993461608887,986.05224609375,75.13568115234375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,2,71.44233703613281,53.78990173339844,7.234893798828125,9.172127723693848,985.1538696289062,90.08453369140625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,3,72.01011657714844,55.455596923828125,3.7298946380615234,9.016692161560059,983.273193359375,182.58409118652344
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,4,72.55243682861328,56.40907287597656,0.2449558973312378,9.515159606933594,983.8861083984375,192.36630249023438
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,5,75.13068389892578,56.64495086669922,0.43415138125419617,10.198602676391602,982.8250122070312,193.02874755859375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,6,75.88905334472656,56.88881301879883,0.0,9.284066200256348,982.987060546875,173.36981201171875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,7,75.56568145751953,58.79609298706055,2.093395709991455,9.46207046508789,983.8936157226562,169.63507080078125
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,14,66.71392059326172,51.19454574584961,6.258283615112305,10.377752304077148,983.6636962890625,221.49574279785156
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,21,58.876522064208984,45.30715560913086,1.3234971761703491,9.619187355041504,980.249267578125,250.7127227783203
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Iowa (Story Co.),2026-09-21,30,58.16868209838867,43.82416915893555,4.986431121826172,9.802495956420898,983.5050659179688,211.084228515625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,1,75.78931427001953,56.117881774902344,0.7045647501945496,5.637507438659668,979.7532348632812,21.948974609375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,2,79.8429946899414,60.612388610839844,1.9286003112792969,7.378574848175049,978.3335571289062,150.8740234375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,3,80.49464416503906,61.61647415161133,1.8454186916351318,8.200142860412598,977.8654174804688,181.76742553710938
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,4,80.71795654296875,61.30150604248047,2.002225637435913,8.392251968383789,977.4835815429688,171.4527587890625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,5,80.15512084960938,60.245094299316406,1.541957139968872,8.947271347045898,977.7548828125,175.13720703125
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,6,81.55422973632812,61.12788391113281,1.6220579147338867,9.114248275756836,977.5853881835938,171.0604248046875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,7,81.7383804321289,61.118988037109375,5.546784400939941,9.113097190856934,977.6967163085938,153.81103515625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,14,74.12106323242188,55.86176300048828,5.400465965270996,8.169514656066895,979.0628662109375,74.67718505859375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,21,68.94438934326172,49.63519287109375,2.8811299800872803,9.737046241760254,976.3912353515625,178.1055908203125
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Kansas (Riley Co.),2026-09-21,30,68.6126480102539,50.47113037109375,2.859931468963623,9.237832069396973,977.0791015625,219.1895751953125
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,1,66.41957092285156,50.81974411010742,1.6404796838760376,8.238557815551758,989.629150390625,91.41317749023438
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,2,69.40091705322266,52.39229965209961,2.2201271057128906,6.94796085357666,988.4373168945312,163.461181640625
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,3,68.35430908203125,53.665870666503906,3.316988945007324,7.235867023468018,985.93359375,197.86611938476562
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,4,70.62615966796875,54.743289947509766,0.31171298027038574,6.950392723083496,986.8199462890625,204.733154296875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,5,74.12986755371094,55.824867248535156,0.5042188763618469,6.696279525756836,986.9843139648438,182.5587921142578
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,6,76.22588348388672,56.22450637817383,1.8098297119140625,7.244543075561523,986.1356201171875,183.0652313232422
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,7,73.22528839111328,56.18075942993164,1.502522349357605,7.39763879776001,987.9069213867188,207.67726135253906
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,14,65.03179931640625,51.33203125,2.182757616043091,7.142104625701904,988.0546875,237.78469848632812
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,21,58.20804977416992,46.7298469543457,1.0490145683288574,8.40406322479248,983.751220703125,225.48983764648438
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Michigan (Ingham Co.),2026-09-21,30,58.89799118041992,44.84366226196289,1.8791025876998901,8.864175796508789,985.232177734375,242.5106201171875
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,1,67.669677734375,52.39728546142578,6.4845380783081055,7.651400089263916,984.4898071289062,66.96524047851562
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,2,70.41263580322266,53.626502990722656,7.251752853393555,9.43950366973877,981.48876953125,148.96575927734375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,3,72.42584228515625,55.80246353149414,1.8267600536346436,9.498331069946289,980.1102294921875,206.5927734375
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,4,71.45840454101562,54.685585021972656,1.1182596683502197,9.532129287719727,980.934326171875,213.94003295898438
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,5,73.5540542602539,54.618770599365234,1.5069866180419922,9.458012580871582,980.3837890625,197.57899475097656
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,6,74.5934066772461,54.85954284667969,1.9502472877502441,9.323699951171875,980.6014404296875,188.05471801757812
2af8a2d5-b5dc-4e4b-ae56-ccab83704374,2026-09-24T14:20:51+00:00,Minnesota (Blue Earth Co.),2026-09-21,7,75.8971939086914,56.2905387878418,2.968392848968506,9.698678970336914,980.4535522460938,185.4477081298828
